,Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
215,2018-10-03 22:19,MapleStory 2,3,AngelsKimi,741,161909,4578382
216,2018-10-03 22:19,MapleStory 2,4,DizzyKitten,717,525008,16007409
217,2018-10-03 22:19,MapleStory 2,5,LoLNatsumiii,297,107924,4704290
218,2018-10-03 22:19,MapleStory 2,6,SlapstickLogic,198,27728,963312
219,2018-10-03 22:19,MapleStory 2,7,MisusingTV,158,34294,2061578
220,2018-10-03 22:19,MapleStory 2,8,itsVero,133,3957,104828
221,2018-10-03 22:19,MapleStory 2,9,Dramakins,111,16003,582984
222,2018-10-03 22:19,MapleStory 2,10,VII_,94,22647,399729
223,2018-10-03 22:19,Old School RuneScape,1,sparcmaclivejr,1965,0,0
224,2018-10-03 22:19,Old School RuneScape,2,WooxSolo_sw,1166,0,35
225,2018-10-03 22:19,Old School RuneScape,3,moistcr1tikal,982,43158,163060
226,2018-10-03 22:19,Old School RuneScape,4,Abyss,524,42720,1217509
227,2018-10-03 22:19,Old School RuneScape,5,Odablock,422,8628,210567
228,2018-10-03 22:19,Old School RuneScape,6,Xaghant,253,11190,253409
229,2018-10-03 22:19,Old School RuneScape,7,Doge,239,64657,3452682
230,2018-10-03 22:19,Old School RuneScape,8,coxie,164,2477,66790
231,2018-10-03 22:19,Old School RuneScape,9,itswill_rs,119,1322,43975
232,2018-10-03 22:19,Old School RuneScape,10,YourCue,117,3312,17100
